"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.FOREGROUND_SERVICE","normal","enables regular apps to use Service.startForeground.","Allows a regular application to use Service.startForeground.","Show Files                                                                                                                                                                                                                                                                                                                            com/RNFetchBlob/RNFetchBlobReq.java                                                                                                                                                                                                    com/brightcove/player/network/DownloadManager.java                                                                                                                                                                                                    com/gm/gemini/VIPForegroundService.java                                                                                                                                                                                                    com/gm/sentinel/service/SentinelActivityDetectionReceiver.java                                                                                                                                                                                                    com/gm/sentinel/service/SentinelForegroundService.java                                                                                                                                                                                                    com/gm/tardis/core/background/BackgroundPollerService.java                                                                                                                                                                                                    com/reactnativecommunity/webview/RNCWebViewModule.java                                                                                                                                                                                                    defpackage/kw0.java                                                                                                                                                                                                    defpackage/om.java"
"android.permission.HIGH_SAMPLING_RATE_SENSORS","normal","Access higher sampling rate sensor data","Allows an app to access sensor data with a sampling rate greater than 200 Hz.",""
"android.permission.INTERNET","normal","full Internet access","Allows an application to create network sockets.","Show Files                                                                                                                                                                                                                                                        com/brightcove/player/captioning/tasks/LoadCaptionsTask.java                                                                                                                                                                                                    com/brightcove/player/network/HttpService.java                                                                                                                                                                                                    com/brightcove/player/offline/MediaPresentationDescriptionLoadable.java                                                                                                                                                                                                    com/eclipsesource/v8/debug/V8DebugServer.java                                                                                                                                                                                                    com/here/network/NetworkProtocol.java                                                                                                                                                                                                    com/here/sdk/core/engine/AndroidConnectivityStatusNotifier.java                                                                                                                                                                                                    com/microsoft/identity/common/adal/internal/net/HttpUrlConnectionFactory.java                                                                                                                                                                                                    com/microsoft/identity/common/adal/internal/net/HttpWebRequest.java                                                                                                                                                                                                    com/microsoft/identity/common/internal/providers/microsoft/azureactivedirectoryb2c/AzureActiveDirectoryB2COAuth2Strategy.java                                                                                                                                                                                                    com/microsoft/identity/common/java/net/HttpUrlConnectionFactory.java                                                                                                                                                                                                    com/microsoft/identity/common/java/net/UrlConnectionHttpClient.java                                                                                                                                                                                                    com/microsoft/identity/common/java/providers/microsoft/azureactivedirectory/AzureActiveDirectoryOAuth2Strategy.java                                                                                                                                                                                                    com/microsoft/identity/common/java/providers/microsoft/microsoftsts/MicrosoftStsOAuth2Strategy.java                                                                                                                                                                                                    com/nimbusds/jose/util/DefaultResourceRetriever.java                                                                                                                                                                                                    com/rnfs/RNFSManager.java                                                                                                                                                                                                    defpackage/b14.java                                                                                                                                                                                                    defpackage/b58.java                                                                                                                                                                                                    defpackage/bq3.java                                                                                                                                                                                                    defpackage/bq4.java                                                                                                                                                                                                    defpackage/cg7.java                                                                                                                                                                                                    defpackage/ct0.java                                                                                                                                                                                                    defpackage/f42.java                                                                                                                                                                                                    defpackage/fq8.java                                                                                                                                                                                                    defpackage/gt5.java                                                                                                                                                                                                    defpackage/h42.java                                                                                                                                                                                                    defpackage/he.java                                                                                                                                                                                                    defpackage/hy2.java                                                                                                                                                                                                    defpackage/i0.java                                                                                                                                                                                                    defpackage/i22.java                                                                                                                                                                                                    defpackage/ih0.java                                                                                                                                                                                                    defpackage/ih7.java                                                                                                                                                                                                    defpackage/in0.java                                                                                                                                                                                                    defpackage/jd0.java                                                                                                                                                                                                    defpackage/jt2.java                                                                                                                                                                                                    defpackage/ju5.java                                                                                                                                                                                                    defpackage/ke.java                                                                                                                                                                                                    defpackage/kt2.java                                                                                                                                                                                                    defpackage/ku5.java                                                                                                                                                                                                    defpackage/l22.java                                                                                                                                                                                                    defpackage/lf0.java                                                                                                                                                                                                    defpackage/m47.java                                                                                                                                                                                                    defpackage/mf0.java                                                                                                                                                                                                    defpackage/mf7.java                                                                                                                                                                                                    defpackage/mt5.java                                                                                                                                                                                                    defpackage/mx6.java                                                                                                                                                                                                    defpackage/nx6.java                                                                                                                                                                                                    defpackage/o24.java                                                                                                                                                                                                    defpackage/p24.java                                                                                                                                                                                                    defpackage/pi1.java                                                                                                                                                                                                    defpackage/pk1.java                                                                                                                                                                                                    defpackage/qx6.java                                                                                                                                                                                                    defpackage/t23.java                                                                                                                                                                                                    defpackage/t49.java                                                                                                                                                                                                    defpackage/tt2.java                                                                                                                                                                                                    defpackage/u23.java                                                                                                                                                                                                    defpackage/v22.java                                                                                                                                                                                                    defpackage/v23.java                                                                                                                                                                                                    defpackage/vb1.java                                                                                                                                                                                                    defpackage/vt2.java                                                                                                                                                                                                    defpackage/vv4.java                                                                                                                                                                                                    defpackage/z25.java                                                                                                                                                                                                    defpackage/zk5.java                                                                                                                                                                                                    net/time4j/android/spi/AndroidResourceLoader.java                                                                                                                                                                                                    retrofit/RequestBuilder.java                                                                                                                                                                                                    retrofit/appengine/UrlFetchClient.java                                                                                                                                                                                                    retrofit/client/ApacheClient.java                                                                                                                                                                                                    retrofit/client/UrlConnectionClient.java"
"android.permission.MODIFY_AUDIO_SETTINGS","normal","change your audio settings","Allows application to modify global audio settings, such as volume and routing.",""
"android.permission.NFC","normal","control Near-Field Communication","Allows an application to communicate with Near-Field Communication (NFC) tags, cards and readers.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    defpackage/d24.java                                                                                                                                                                                                    defpackage/e24.java                                                                                                                                                                                                    defpackage/f24.java                                                                                                                                                                                                    defpackage/zu3.java"
"android.permission.POST_NOTIFICATIONS","dangerous","allows an app to post notifications.","Allows an app to post notifications","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/adobe/marketing/mobile/LocalNotificationHandler.java                                                                                                                                                                                                    com/brightcove/player/network/DownloadManager.java                                                                                                                                                                                                    com/gm/energyassistant/EAjsMaster.java                                                                                                                                                                                                    com/gm/gemini/MainActivity.java                                                                                                                                                                                                    defpackage/ah2.java                                                                                                                                                                                                    defpackage/na6.java                                                                                                                                                                                                    defpackage/pi1.java                                                                                                                                                                                                    defpackage/qm2.java                                                                                                                                                                                                    defpackage/r30.java                                                                                                                                                                                                    defpackage/s44.java"
"android.permission.READ_CALENDAR","dangerous","read calendar events","Allows an application to read all of the calendar events stored on your phone. Malicious applications can use this to send your calendar events to other people.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/reactnativedocumentpicker/DocumentPickerModule.java                                                                                                                                                                                                    defpackage/f11.java                                                                                                                                                                                                    defpackage/j97.java                                                                                                                                                                                                    defpackage/jv9.java                                                                                                                                                                                                    defpackage/kj3.java                                                                                                                                                                                                    defpackage/tj3.java                                                                                                                                                                                                    defpackage/tz3.java                                                                                                                                                                                                    defpackage/u42.java                                                                                                                                                                                                    defpackage/u58.java"
"android.permission.READ_CONTACTS","dangerous","read contact data","Allows an application to read all of the contact (address) data stored on your phone. Malicious applications can use this to send your data to other people.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/gm/energyassistant/datamodels/BaseGeminiJavaScriptInterface.java                                                                                                                                                                                                    com/gm/gemini/plugin_common_resources/util/OnstarContactUtil.java                                                                                                                                                                                                    com/gm/plugin/family_link/ui/fullscreen/EditContactFragment.java                                                                                                                                                                                                    com/gm/tardis/core/contactpicker/ContactPicker.java                                                                                                                                                                                                    defpackage/jj3.java                                                                                                                                                                                                    defpackage/kd.java                                                                                                                                                                                                    defpackage/n26.java"
"android.permission.READ_EXTERNAL_STORAGE","dangerous","read external storage contents","Allows an application to read from external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                com/RNFetchBlob/RNFetchBlob.java                                                                                                                                                                                                    com/activeandroid/DatabaseHelper.java                                                                                                                                                                                                    com/adobe/marketing/mobile/internal/configuration/ConfigurationExtension.java                                                                                                                                                                                                    com/brightcove/player/offline/MediaPresentationDescriptionLoadable.java                                                                                                                                                                                                    com/brightcove/player/video360/GlUtil.java                                                                                                                                                                                                    com/eclipsesource/v8/PlatformDetector.java                                                                                                                                                                                                    com/gm/energyassistant/EAjsMaster.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/GeminiAppJavaScriptInterface.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/localStorage/LocalStorageProvider.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/localStorage/TileJournal.java                                                                                                                                                                                                    com/gm/gemini/location/a.java                                                                                                                                                                                                    com/gm/gemini/plugin_common_resources/location/a.java                                                                                                                                                                                                    com/gm/gemini/plugin_common_resources/util/CountryConfigUtil.java                                                                                                                                                                                                    com/gm/gemini/plugin_common_resources/util/OnstarContactUtil.java                                                                                                                                                                                                    com/gm/gemini/plugin_common_resources/util/RegionCountryConfigUtil.java                                                                                                                                                                                                    com/gm/plugin/owner_manual/ui/fullscreen/b.java                                                                                                                                                                                                    com/gm/tardis/core/ownermanual/TardisOwnerManual.java                                                                                                                                                                                                    com/here/network/NetworkSSLContextFactory.java                                                                                                                                                                                                    com/microsoft/identity/client/PublicClientApplicationConfigurationFactory.java                                                                                                                                                                                                    com/microsoft/identity/common/adal/internal/cache/StorageHelper.java                                                                                                                                                                                                    com/microsoft/identity/common/java/util/FileUtil.java                                                                                                                                                                                                    com/nimbusds/jose/util/IOUtils.java                                                                                                                                                                                                    com/reactnativecommunity/asyncstorage/AsyncStorageModule.java                                                                                                                                                                                                    com/rnfs/RNFSManager.java                                                                                                                                                                                                    defpackage/b14.java                                                                                                                                                                                                    defpackage/b20.java                                                                                                                                                                                                    defpackage/bq3.java                                                                                                                                                                                                    defpackage/cg5.java                                                                                                                                                                                                    defpackage/ee7.java                                                                                                                                                                                                    defpackage/f42.java                                                                                                                                                                                                    defpackage/gt5.java                                                                                                                                                                                                    defpackage/h14.java                                                                                                                                                                                                    defpackage/he.java                                                                                                                                                                                                    defpackage/i02.java                                                                                                                                                                                                    defpackage/ih0.java                                                                                                                                                                                                    defpackage/ih7.java                                                                                                                                                                                                    defpackage/jj3.java                                                                                                                                                                                                    defpackage/kj3.java                                                                                                                                                                                                    defpackage/mc0.java                                                                                                                                                                                                    defpackage/mf7.java                                                                                                                                                                                                    defpackage/mn3.java                                                                                                                                                                                                    defpackage/n9.java                                                                                                                                                                                                    defpackage/nl3.java                                                                                                                                                                                                    defpackage/nm4.java                                                                                                                                                                                                    defpackage/ox7.java                                                                                                                                                                                                    defpackage/p24.java                                                                                                                                                                                                    defpackage/pc.java                                                                                                                                                                                                    defpackage/pe9.java                                                                                                                                                                                                    defpackage/qj3.java                                                                                                                                                                                                    defpackage/qp2.java                                                                                                                                                                                                    defpackage/qs0.java                                                                                                                                                                                                    defpackage/sy5.java                                                                                                                                                                                                    defpackage/uo7.java                                                                                                                                                                                                    defpackage/v22.java                                                                                                                                                                                                    defpackage/vf5.java                                                                                                                                                                                                    defpackage/vv4.java                                                                                                                                                                                                    defpackage/wa7.java                                                                                                                                                                                                    retrofit/mime/TypedFile.java"
"android.permission.READ_MEDIA_IMAGES","dangerous","allows reading image files from external storage.","Allows an application to read image files from external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/RNFetchBlob/RNFetchBlob.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/JsonSaveFile.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/sharedStorage/LegacyDocumentFileProvider.java                                                                                                                                                                                                    com/gm/tardis/core/ownermanual/TardisOwnerManual.java                                                                                                                                                                                                    com/gm/vipkit/LogManager.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/rnfs/RNFSManager.java                                                                                                                                                                                                    defpackage/cg5.java                                                                                                                                                                                                    defpackage/ih7.java                                                                                                                                                                                                    defpackage/iq6.java                                                                                                                                                                                                    defpackage/ma1.java                                                                                                                                                                                                    defpackage/wn4.java"
"android.permission.READ_MEDIA_VIDEO","dangerous","allows reading video files from external storage.","Allows an application to read video files from external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/RNFetchBlob/RNFetchBlob.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/JsonSaveFile.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/sharedStorage/LegacyDocumentFileProvider.java                                                                                                                                                                                                    com/gm/tardis/core/ownermanual/TardisOwnerManual.java                                                                                                                                                                                                    com/gm/vipkit/LogManager.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/rnfs/RNFSManager.java                                                                                                                                                                                                    defpackage/cg5.java                                                                                                                                                                                                    defpackage/ih7.java                                                                                                                                                                                                    defpackage/iq6.java                                                                                                                                                                                                    defpackage/ma1.java                                                                                                                                                                                                    defpackage/wn4.java"
"android.permission.RECEIVE_BOOT_COMPLETED","normal","automatically start at boot","Allows an application to start itself as soon as the system has finished booting. This can make it take longer to start the phone and allow the application to slow down the overall phone by always running.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        cl/json/social/TargetChosenReceiver.java                                                                                                                                                                                                    com/RNFetchBlob/RNFetchBlobReq.java                                                                                                                                                                                                    com/adobe/marketing/mobile/LocalNotificationHandler.java                                                                                                                                                                                                    com/adobe/marketing/mobile/NotificationDismissalHandler.java                                                                                                                                                                                                    com/brentvatne/receiver/AudioBecomingNoisyReceiver.java                                                                                                                                                                                                    com/brightcove/player/network/ConnectivityMonitor.java                                                                                                                                                                                                    com/brightcove/player/pictureinpicture/PictureInPictureManager.java                                                                                                                                                                                                    com/gm/gemini/LocaleBackgroundReceiver.java                                                                                                                                                                                                    com/gm/gemini/VIPForegroundService.java                                                                                                                                                                                                    com/gm/gemini/VendorChannelConnectReceiver.java                                                                                                                                                                                                    com/gm/gemini/core/BluetoothBroadcastReceiver.java                                                                                                                                                                                                    com/gm/gemini/tardis/ctek/l.java                                                                                                                                                                                                    com/gm/plugin/parking/util/BootReceiver.java                                                                                                                                                                                                    com/gm/plugin/parking/util/TimerAlarmReceiver.java                                                                                                                                                                                                    com/gm/sentinel/service/SentinelActivityDetectionReceiver.java                                                                                                                                                                                                    com/gm/sentinel/service/SentinelForegroundService.java                                                                                                                                                                                                    com/gm/tardis/core/trailer/a.java                                                                                                                                                                                                    com/here/sdk/mapview/NetworkChangeBroadcastReceiver.java                                                                                                                                                                                                    com/launchdarkly/sdk/android/a.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceReceiver.java                                                                                                                                                                                                    com/microsoft/identity/client/CurrentTaskBrowserTabActivity.java                                                                                                                                                                                                    com/microsoft/identity/common/internal/providers/oauth2/CurrentTaskAuthorizationActivity.java                                                                                                                                                                                                    com/reactcommunity/rnlocalize/RNLocalizeModule.java                                                                                                                                                                                                    com/reactnativecommunity/netinfo/a.java                                                                                                                                                                                                    defpackage/e67.java                                                                                                                                                                                                    defpackage/eg7.java                                                                                                                                                                                                    defpackage/ij3.java                                                                                                                                                                                                    defpackage/jy6.java                                                                                                                                                                                                    defpackage/ny3.java                                                                                                                                                                                                    defpackage/ow6.java                                                                                                                                                                                                    defpackage/rm.java                                                                                                                                                                                                    defpackage/rq8.java                                                                                                                                                                                                    defpackage/w32.java"
"android.permission.RECORD_AUDIO","dangerous","record audio","Allows application to access the audio record path.",""
"android.permission.REQUEST_COMPANION_RUN_IN_BACKGROUND","normal","allows a companion app to run in the background.","Allows a companion app to run in the background.",""
"android.permission.SCHEDULE_EXACT_ALARM","normal","permits exact alarm scheduling for background work.","Allows an app to use exact alarm scheduling APIs to perform timing sensitive background work.",""
