"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"com.huawei.android.launcher.permission.CHANGE_BADGE","normal","show notification count on app","Show notification count or badge on application launch icon for huawei phones.",""
"com.huawei.android.launcher.permission.READ_SETTINGS","normal","show notification count on app","Show notification count or badge on application launch icon for huawei phones.",""
"com.huawei.android.launcher.permission.WRITE_SETTINGS","normal","show notification count on app","Show notification count or badge on application launch icon for huawei phones.",""
"com.majeur.launcher.permission.UPDATE_BADGE","normal","show notification count on app","Show notification count or badge on application launch icon for solid.",""
"com.oppo.launcher.permission.READ_SETTINGS","normal","show notification count on app","Show notification count or badge on application launch icon for oppo phones.",""
"com.oppo.launcher.permission.WRITE_SETTINGS","normal","show notification count on app","Show notification count or badge on application launch icon for oppo phones.",""
"com.sec.android.provider.badge.permission.READ","normal","show notification count on app","Show notification count or badge on application launch icon for samsung phones.",""
"com.sec.android.provider.badge.permission.WRITE","normal","show notification count on app","Show notification count or badge on application launch icon for samsung phones.",""
"com.sonyericsson.home.permission.BROADCAST_BADGE","normal","show notification count on app","Show notification count or badge on application launch icon for sony phones.",""
"com.sonymobile.home.permission.PROVIDER_INSERT_BADGE","normal","show notification count on app","Show notification count or badge on application launch icon for sony phones.",""
"me.everything.badger.permission.BADGE_COUNT_READ","unknown","Unknown permission","Unknown permission from android reference",""
"me.everything.badger.permission.BADGE_COUNT_WRITE","unknown","Unknown permission","Unknown permission from android reference",""
