"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.BLUETOOTH_SCAN","dangerous","required for discovering and pairing Bluetooth devices.","Required to be able to discover and pair nearby Bluetooth devices.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            bg/j.java                                                                                                                                                                                                    c/t/m/g/z4.java                                                                                                                                                                                                    com/bmwgroup/connected/core/services/accessory/LegacyBtHandler.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/util/BtAdapterWrapper.java                                                                                                                                                                                                    tf/d.java"
"android.permission.CAMERA","dangerous","take pictures and videos","Allows application to take pictures and videos with the camera. This allows the application to collect images that the camera is seeing at any time.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    qo/a.java"
"android.permission.CHANGE_NETWORK_STATE","normal","change network connectivity","Allows applications to change network connectivity state.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/Android29WifiEstablisher.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/ProcessBinderImpl.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/tracker/NetworkCallbackWifiMonitor.java                                                                                                                                                                                                    com/mapbox/common/Reachability.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/util/NetworkUtils.java                                                                                                                                                                                                    da/b.java                                                                                                                                                                                                    kf/n.java                                                                                                                                                                                                    kf/o.java                                                                                                                                                                                                    n8/n.java                                                                                                                                                                                                    n8/p.java                                                                                                                                                                                                    wi/c.java                                                                                                                                                                                                    wi/g.java                                                                                                                                                                                                    yt/d.java"
"android.permission.CHANGE_WIFI_MULTICAST_STATE","normal","allow Wi-Fi Multicast reception","Allows an application to receive packets not directly addressed to your device. This can be useful when discovering services offered nearby. It uses more power than the non-multicast mode.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/baseflow/geolocator/GeolocatorLocationService.java                                                                                                                                                                                                    kf/m.java                                                                                                                                                                                                    n4/u2.java"
"android.permission.CHANGE_WIFI_STATE","normal","change Wi-Fi status","Allows an application to connect to and disconnect from Wi-Fi access points and to make changes to configured Wi-Fi networks.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            c/t/m/g/e7.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/WifiServiceImpl.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/PreAndroid29WifiEstablisher.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/wifiscanner/DeviceStateReceiver.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/wifiscanner/ScanningHandler.java"
"android.permission.FOREGROUND_SERVICE","normal","enables regular apps to use Service.startForeground.","Allows a regular application to use Service.startForeground.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/baseflow/geolocator/GeolocatorLocationService.java                                                                                                                                                                                                    com/bmwgroup/carconnection/service/CarConnectionService.java                                                                                                                                                                                                    com/bmwgroup/connected/app/CarApplicationLauncher.java                                                                                                                                                                                                    com/bmwgroup/connected/app/JobIntentService.java                                                                                                                                                                                                    com/dexterous/flutterlocalnotifications/FlutterLocalNotificationsPlugin.java                                                                                                                                                                                                    com/lyokone/location/FlutterLocationService.java                                                                                                                                                                                                    com/mapbox/common/LifecycleMonitorAndroid.java                                                                                                                                                                                                    com/tencent/map/geolocation/s.java                                                                                                                                                                                                    de/bmw/connected/lib/audio/services/PlayerService.java                                                                                                                                                                                                    e8/u.java                                                                                                                                                                                                    io/flutter/plugins/firebase/messaging/JobIntentService.java                                                                                                                                                                                                    j4/l0.java                                                                                                                                                                                                    p3/e.java                                                                                                                                                                                                    zs/b.java"
"android.permission.FOREGROUND_SERVICE_CONNECTED_DEVICE","normal","enables foreground services with connected device use.","Allows a regular application to use Service.startForeground with the type ""connectedDevice"".",""
"android.permission.FOREGROUND_SERVICE_MEDIA_PLAYBACK","normal","enables foreground services for media playback.","Allows a regular application to use Service.startForeground with the type ""mediaPlayback"".",""
"android.permission.INTERNET","normal","full Internet access","Allows an application to create network sockets.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        ah/a.java                                                                                                                                                                                                    ah/b.java                                                                                                                                                                                                    b20/w.java                                                                                                                                                                                                    c/t/m/g/j5.java                                                                                                                                                                                                    c/t/m/g/p3.java                                                                                                                                                                                                    ch/qos/logback/classic/net/SocketNode.java                                                                                                                                                                                                    ch/qos/logback/classic/net/SocketReceiver.java                                                                                                                                                                                                    ch/qos/logback/core/joran/GenericConfigurator.java                                                                                                                                                                                                    ch/qos/logback/core/joran/action/AbstractIncludeAction.java                                                                                                                                                                                                    ch/qos/logback/core/joran/action/IncludeAction.java                                                                                                                                                                                                    ch/qos/logback/core/joran/action/PropertyAction.java                                                                                                                                                                                                    ch/qos/logback/core/net/AbstractSocketAppender.java                                                                                                                                                                                                    ch/qos/logback/core/net/SyslogAppenderBase.java                                                                                                                                                                                                    com/bmw/downloader/services/work/DownloadWorker.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/connectivity/internal/wifi/network/ProcessBinderImpl.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/internal/connectivity/transport/WifiDeviceManagerSocket.java                                                                                                                                                                                                    com/bmwgroup/connected/sdk/internal/connectivity/transport/WifiTlsTransportService.java                                                                                                                                                                                                    com/bmwgroup/connected/util/net/AsyncDownload.java                                                                                                                                                                                                    com/bmwgroup/connected/util/net/HttpURLConnectionFactory.java                                                                                                                                                                                                    com/bmwgroup/connected/util/threadpool/AsyncDownloadThreadPool.java                                                                                                                                                                                                    com/mapbox/common/Reachability.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/AnalyticsMessages.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/SAConfigOptions.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/advert/utils/SAAdvertUtils.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/dialog/SensorsDataDialogUtils.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/network/RealRequest.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/network/RequestHelper.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/util/NetworkUtils.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/util/SADataHelper.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/visual/AbstractViewCrawler.java                                                                                                                                                                                                    da/b.java                                                                                                                                                                                                    de/bmw/connected/lib/audio/formats/StreamResolver.java                                                                                                                                                                                                    dg/c.java                                                                                                                                                                                                    gn/c.java                                                                                                                                                                                                    i10/b.java                                                                                                                                                                                                    ig/q.java                                                                                                                                                                                                    jg/a.java                                                                                                                                                                                                    l4/l.java                                                                                                                                                                                                    le/a.java                                                                                                                                                                                                    ly/count/android/sdk/d0.java                                                                                                                                                                                                    ly/count/android/sdk/h.java                                                                                                                                                                                                    me/a.java                                                                                                                                                                                                    mj/d.java                                                                                                                                                                                                    net/openid/appauth/b.java                                                                                                                                                                                                    net/openid/appauth/c.java                                                                                                                                                                                                    pm/a.java                                                                                                                                                                                                    pu/a.java                                                                                                                                                                                                    qn/d.java                                                                                                                                                                                                    rk/nb.java                                                                                                                                                                                                    rk/q6.java                                                                                                                                                                                                    t00/l.java                                                                                                                                                                                                    v8/d.java                                                                                                                                                                                                    w10/b.java                                                                                                                                                                                                    w10/j.java                                                                                                                                                                                                    w8/d.java                                                                                                                                                                                                    wi/c.java                                                                                                                                                                                                    wi/g.java                                                                                                                                                                                                    wz/d.java                                                                                                                                                                                                    x20/c.java                                                                                                                                                                                                    yi/d.java                                                                                                                                                                                                    zg/e.java"
"android.permission.NFC","normal","control Near-Field Communication","Allows an application to communicate with Near-Field Communication (NFC) tags, cards and readers.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            pd/c.java                                                                                                                                                                                                    pd/e.java                                                                                                                                                                                                    pd/i.java                                                                                                                                                                                                    qd/f.java"
"android.permission.POST_NOTIFICATIONS","dangerous","allows an app to post notifications.","Allows an app to post notifications","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        b10/d.java                                                                                                                                                                                                    com/bmwgroup/connected/core/services/accessory/NotificationService.java                                                                                                                                                                                                    com/dexterous/flutterlocalnotifications/FlutterLocalNotificationsPlugin.java                                                                                                                                                                                                    de/bmw/connected/lib/audio/services/AudioPlayerNotificationManager.java                                                                                                                                                                                                    fe/i.java                                                                                                                                                                                                    me/leolin/shortcutbadger/impl/XiaomiHomeBadger.java                                                                                                                                                                                                    y1/p.java"
"android.permission.QUERY_ALL_PACKAGES","normal","enables querying any normal app on the device.","Allows query of any normal app on the device, regardless of manifest declarations.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/pichillilorenzo/flutter_inappwebview/chrome_custom_tabs/CustomTabsHelper.java                                                                                                                                                                                                    g9/u.java                                                                                                                                                                                                    h10/d.java                                                                                                                                                                                                    hg/b.java                                                                                                                                                                                                    io/flutter/plugin/text/ProcessTextPlugin.java                                                                                                                                                                                                    io/flutter/plugins/imagepicker/ImagePickerDelegate.java"
"android.permission.READ_APP_BADGE","normal","show app notification","Allows an application to show app icon badges.",""
"android.permission.READ_CALENDAR","dangerous","read calendar events","Allows an application to read all of the calendar events stored on your phone. Malicious applications can use this to send your calendar events to other people.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/builttoroam/devicecalendar/CalendarDelegate.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/data/SAProviderHelper.java                                                                                                                                                                                                    com/sensorsdata/analytics/android/sdk/data/adapter/DataOperation.java                                                                                                                                                                                                    d7/d.java                                                                                                                                                                                                    x8/c.java"
"android.permission.READ_CONTACTS","dangerous","read contact data","Allows an application to read all of the contact (address) data stored on your phone. Malicious applications can use this to send your data to other people.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                x8/c.java"
