PERMISSION,STATUS,INFO,DESCRIPTION,CODE MAPPINGS,app,source_path,NO,SCOPE,SEVERITY
android.permission.MODIFY_AUDIO_SETTINGS,normal,change your audio settings,"Allows application to modify global audio settings, such as volume and routing.",,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/application_permissions.csv,,,
android.permission.NFC,normal,control Near-Field Communication,"Allows an application to communicate with Near-Field Communication (NFC) tags, cards and readers.",Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    defpackage/d24.java                                                                                                                                                                                                    defpackage/e24.java                                                                                                                                                                                                    defpackage/f24.java                                                                                                                                                                                                    defpackage/zu3.java,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/application_permissions.csv,,,
android.permission.POST_NOTIFICATIONS,dangerous,allows an app to post notifications.,Allows an app to post notifications,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/adobe/marketing/mobile/LocalNotificationHandler.java                                                                                                                                                                                                    com/brightcove/player/network/DownloadManager.java                                                                                                                                                                                                    com/gm/energyassistant/EAjsMaster.java                                                                                                                                                                                                    com/gm/gemini/MainActivity.java                                                                                                                                                                                                    defpackage/ah2.java                                                                                                                                                                                                    defpackage/na6.java                                                                                                                                                                                                    defpackage/pi1.java                                                                                                                                                                                                    defpackage/qm2.java                                                                                                                                                                                                    defpackage/r30.java                                                                                                                                                                                                    defpackage/s44.java,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/application_permissions.csv,,,
android.permission.READ_CALENDAR,dangerous,read calendar events,Allows an application to read all of the calendar events stored on your phone. Malicious applications can use this to send your calendar events to other people.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/reactnativedocumentpicker/DocumentPickerModule.java                                                                                                                                                                                                    defpackage/f11.java                                                                                                                                                                                                    defpackage/j97.java                                                                                                                                                                                                    defpackage/jv9.java                                                                                                                                                                                                    defpackage/kj3.java                                                                                                                                                                                                    defpackage/tj3.java                                                                                                                                                                                                    defpackage/tz3.java                                                                                                                                                                                                    defpackage/u42.java                                                                                                                                                                                                    defpackage/u58.java,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/application_permissions.csv,,,
android.permission.READ_CONTACTS,dangerous,read contact data,Allows an application to read all of the contact (address) data stored on your phone. Malicious applications can use this to send your data to other people.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                    com/gm/energyassistant/datamodels/BaseGeminiJavaScriptInterface.java                                                                                                                                                                                                    com/gm/gemini/plugin_common_resources/util/OnstarContactUtil.java                                                                                                                                                                                                    com/gm/plugin/family_link/ui/fullscreen/EditContactFragment.java                                                                                                                                                                                                    com/gm/tardis/core/contactpicker/ContactPicker.java                                                                                                                                                                                                    defpackage/jj3.java                                                                                                                                                                                                    defpackage/kd.java                                                                                                                                                                                                    defpackage/n26.java,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/application_permissions.csv,,,
android.permission.READ_EXTERNAL_STORAGE,dangerous,read external storage contents,Allows an application to read from external storage.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                com/RNFetchBlob/RNFetchBlob.java                                                                                                                                                                                                    com/activeandroid/DatabaseHelper.java                                                                                                                                                                                                    com/adobe/marketing/mobile/internal/configuration/ConfigurationExtension.java                                                                                                                                                                                                    com/brightcove/player/offline/MediaPresentationDescriptionLoadable.java                                                                                                                                                                                                    com/brightcove/player/video360/GlUtil.java                                                                                                                                                                                                    com/eclipsesource/v8/PlatformDetector.java                                                                                                                                                                                                    com/gm/energyassistant/EAjsMaster.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/GeminiAppJavaScriptInterface.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/localStorage/LocalStorageProvider.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/localStorage/TileJournal.java                                                                                                                                                                                                    com/gm/gemini/location/a.java                                                                                                                                                                                                    com/gm/gemini/plugin_common_resources/location/a.java                                                                                                                                                                                                    com/gm/gemini/plugin_common_resources/util/CountryConfigUtil.java                                                                                                                                                                                                    com/gm/gemini/plugin_common_resources/util/OnstarContactUtil.java                                                                                                                                                                                                    com/gm/gemini/plugin_common_resources/util/RegionCountryConfigUtil.java                                                                                                                                                                                                    com/gm/plugin/owner_manual/ui/fullscreen/b.java                                                                                                                                                                                                    com/gm/tardis/core/ownermanual/TardisOwnerManual.java                                                                                                                                                                                                    com/here/network/NetworkSSLContextFactory.java                                                                                                                                                                                                    com/microsoft/identity/client/PublicClientApplicationConfigurationFactory.java                                                                                                                                                                                                    com/microsoft/identity/common/adal/internal/cache/StorageHelper.java                                                                                                                                                                                                    com/microsoft/identity/common/java/util/FileUtil.java                                                                                                                                                                                                    com/nimbusds/jose/util/IOUtils.java                                                                                                                                                                                                    com/reactnativecommunity/asyncstorage/AsyncStorageModule.java                                                                                                                                                                                                    com/rnfs/RNFSManager.java                                                                                                                                                                                                    defpackage/b14.java                                                                                                                                                                                                    defpackage/b20.java                                                                                                                                                                                                    defpackage/bq3.java                                                                                                                                                                                                    defpackage/cg5.java                                                                                                                                                                                                    defpackage/ee7.java                                                                                                                                                                                                    defpackage/f42.java                                                                                                                                                                                                    defpackage/gt5.java                                                                                                                                                                                                    defpackage/h14.java                                                                                                                                                                                                    defpackage/he.java                                                                                                                                                                                                    defpackage/i02.java                                                                                                                                                                                                    defpackage/ih0.java                                                                                                                                                                                                    defpackage/ih7.java                                                                                                                                                                                                    defpackage/jj3.java                                                                                                                                                                                                    defpackage/kj3.java                                                                                                                                                                                                    defpackage/mc0.java                                                                                                                                                                                                    defpackage/mf7.java                                                                                                                                                                                                    defpackage/mn3.java                                                                                                                                                                                                    defpackage/n9.java                                                                                                                                                                                                    defpackage/nl3.java                                                                                                                                                                                                    defpackage/nm4.java                                                                                                                                                                                                    defpackage/ox7.java                                                                                                                                                                                                    defpackage/p24.java                                                                                                                                                                                                    defpackage/pc.java                                                                                                                                                                                                    defpackage/pe9.java                                                                                                                                                                                                    defpackage/qj3.java                                                                                                                                                                                                    defpackage/qp2.java                                                                                                                                                                                                    defpackage/qs0.java                                                                                                                                                                                                    defpackage/sy5.java                                                                                                                                                                                                    defpackage/uo7.java                                                                                                                                                                                                    defpackage/v22.java                                                                                                                                                                                                    defpackage/vf5.java                                                                                                                                                                                                    defpackage/vv4.java                                                                                                                                                                                                    defpackage/wa7.java                                                                                                                                                                                                    retrofit/mime/TypedFile.java,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/application_permissions.csv,,,
android.permission.READ_MEDIA_IMAGES,dangerous,allows reading image files from external storage.,Allows an application to read image files from external storage.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/RNFetchBlob/RNFetchBlob.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/JsonSaveFile.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/sharedStorage/LegacyDocumentFileProvider.java                                                                                                                                                                                                    com/gm/tardis/core/ownermanual/TardisOwnerManual.java                                                                                                                                                                                                    com/gm/vipkit/LogManager.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/rnfs/RNFSManager.java                                                                                                                                                                                                    defpackage/cg5.java                                                                                                                                                                                                    defpackage/ih7.java                                                                                                                                                                                                    defpackage/iq6.java                                                                                                                                                                                                    defpackage/ma1.java                                                                                                                                                                                                    defpackage/wn4.java,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/application_permissions.csv,,,
android.permission.READ_MEDIA_VIDEO,dangerous,allows reading video files from external storage.,Allows an application to read video files from external storage.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/RNFetchBlob/RNFetchBlob.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/JsonSaveFile.java                                                                                                                                                                                                    com/gm/energyassistant/datamodels/sharedStorage/LegacyDocumentFileProvider.java                                                                                                                                                                                                    com/gm/tardis/core/ownermanual/TardisOwnerManual.java                                                                                                                                                                                                    com/gm/vipkit/LogManager.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/rnfs/RNFSManager.java                                                                                                                                                                                                    defpackage/cg5.java                                                                                                                                                                                                    defpackage/ih7.java                                                                                                                                                                                                    defpackage/iq6.java                                                                                                                                                                                                    defpackage/ma1.java                                                                                                                                                                                                    defpackage/wn4.java,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/application_permissions.csv,,,
android.permission.RECEIVE_BOOT_COMPLETED,normal,automatically start at boot,Allows an application to start itself as soon as the system has finished booting. This can make it take longer to start the phone and allow the application to slow down the overall phone by always running.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        cl/json/social/TargetChosenReceiver.java                                                                                                                                                                                                    com/RNFetchBlob/RNFetchBlobReq.java                                                                                                                                                                                                    com/adobe/marketing/mobile/LocalNotificationHandler.java                                                                                                                                                                                                    com/adobe/marketing/mobile/NotificationDismissalHandler.java                                                                                                                                                                                                    com/brentvatne/receiver/AudioBecomingNoisyReceiver.java                                                                                                                                                                                                    com/brightcove/player/network/ConnectivityMonitor.java                                                                                                                                                                                                    com/brightcove/player/pictureinpicture/PictureInPictureManager.java                                                                                                                                                                                                    com/gm/gemini/LocaleBackgroundReceiver.java                                                                                                                                                                                                    com/gm/gemini/VIPForegroundService.java                                                                                                                                                                                                    com/gm/gemini/VendorChannelConnectReceiver.java                                                                                                                                                                                                    com/gm/gemini/core/BluetoothBroadcastReceiver.java                                                                                                                                                                                                    com/gm/gemini/tardis/ctek/l.java                                                                                                                                                                                                    com/gm/plugin/parking/util/BootReceiver.java                                                                                                                                                                                                    com/gm/plugin/parking/util/TimerAlarmReceiver.java                                                                                                                                                                                                    com/gm/sentinel/service/SentinelActivityDetectionReceiver.java                                                                                                                                                                                                    com/gm/sentinel/service/SentinelForegroundService.java                                                                                                                                                                                                    com/gm/tardis/core/trailer/a.java                                                                                                                                                                                                    com/here/sdk/mapview/NetworkChangeBroadcastReceiver.java                                                                                                                                                                                                    com/launchdarkly/sdk/android/a.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                                                                                    com/learnium/RNDeviceInfo/RNDeviceReceiver.java                                                                                                                                                                                                    com/microsoft/identity/client/CurrentTaskBrowserTabActivity.java                                                                                                                                                                                                    com/microsoft/identity/common/internal/providers/oauth2/CurrentTaskAuthorizationActivity.java                                                                                                                                                                                                    com/reactcommunity/rnlocalize/RNLocalizeModule.java                                                                                                                                                                                                    com/reactnativecommunity/netinfo/a.java                                                                                                                                                                                                    defpackage/e67.java                                                                                                                                                                                                    defpackage/eg7.java                                                                                                                                                                                                    defpackage/ij3.java                                                                                                                                                                                                    defpackage/jy6.java                                                                                                                                                                                                    defpackage/ny3.java                                                                                                                                                                                                    defpackage/ow6.java                                                                                                                                                                                                    defpackage/rm.java                                                                                                                                                                                                    defpackage/rq8.java                                                                                                                                                                                                    defpackage/w32.java,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/application_permissions.csv,,,
android.permission.RECORD_AUDIO,dangerous,record audio,Allows application to access the audio record path.,,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/application_permissions.csv,,,
android.permission.REQUEST_COMPANION_RUN_IN_BACKGROUND,normal,allows a companion app to run in the background.,Allows a companion app to run in the background.,,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/application_permissions.csv,,,
android.permission.SCHEDULE_EXACT_ALARM,normal,permits exact alarm scheduling for background work.,Allows an app to use exact alarm scheduling APIs to perform timing sensitive background work.,,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/application_permissions.csv,,,
android.permission.SYSTEM_ALERT_WINDOW,dangerous,display system-level alerts,Allows an application to show system-alert windows. Malicious applications can take over the entire screen of the phone.,Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            com/airbnb/android/react/maps/AirMapCircleManager.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapGradientPolylineManager.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapLocalTileManager.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapOverlayManager.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapPolygonManager.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapPolylineManager.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapUrlTileManager.java                                                                                                                                                                                                    com/airbnb/android/react/maps/AirMapWMSTileManager.java                                                                                                                                                                                                    com/brightcove/player/util/VideoFormatSelectorUtil.java                                                                                                                                                                                                    com/brightcove/player/video360/RotationMonitor.java                                                                                                                                                                                                    com/gm/android_auto_core/ui/CardSizedButton.java                                                                                                                                                                                                    com/microsoft/identity/common/internal/ui/DualScreenActivity.java                                                                                                                                                                                                    defpackage/b73.java                                                                                                                                                                                                    defpackage/cy6.java                                                                                                                                                                                                    defpackage/ey6.java                                                                                                                                                                                                    defpackage/iy6.java                                                                                                                                                                                                    defpackage/j6.java                                                                                                                                                                                                    defpackage/ku5.java                                                                                                                                                                                                    defpackage/lx6.java                                                                                                                                                                                                    defpackage/pv3.java                                                                                                                                                                                                    defpackage/qd.java                                                                                                                                                                                                    defpackage/qf1.java                                                                                                                                                                                                    defpackage/qk5.java                                                                                                                                                                                                    defpackage/qs7.java                                                                                                                                                                                                    defpackage/un7.java                                                                                                                                                                                                    defpackage/vx6.java                                                                                                                                                                                                    defpackage/wf0.java                                                                                                                                                                                                    defpackage/wr6.java                                                                                                                                                                                                    defpackage/yu4.java                                                                                                                                                                                                    defpackage/yx6.java                                                                                                                                                                                                    defpackage/zx6.java,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/application_permissions.csv,,,
