NO,ISSUE,SEVERITY,STANDARDS,FILES,OPTIONS,app,source_path
7,The App uses the encryption mode CBC with PKCS5/PKCS7 padding. This configuration is vulnerable to padding oracle attacks.,high,CWE: CWE-649: Reliance on Obfuscation or Encryption of Security-Relevant Inputs without Integrity Checking                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-3,Show Files                                                                                                                                c/t/m/g/g3.java                                                                                                                                      c/t/m/g/h3.java                                                                                                                                      com/it_nomads/fluttersecurestorage/ciphers/h.java                                                                                                                                      t4/a.java                                                                                                                                      u/i.java,Suppress the rule cbc_padding_oracle in de.bmw.connected.mobile20.na                         Suppress the rule cbc_padding_oracle in de.bmw.connected.mobile20.na only from these files,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/code_analysis.csv
8,"Calling Cipher.getInstance(""AES"") will return AES ECB mode by default. ECB mode is known to be weak as it results in the same ciphertext for identical blocks of plaintext.",high,CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-2,com/bmwgroup/connected/core/util/CryptoUtil.java                                                                                                                            com/bmwgroup/connected/util/util/CryptoUtil.java,Suppress the rule android_aws_ecb_default in de.bmw.connected.mobile20.na                         Suppress the rule android_aws_ecb_default in de.bmw.connected.mobile20.na only from these files,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/code_analysis.csv
9,Insecure WebView Implementation. Execution of user controlled code in WebView is a critical Security Hole.,warning,CWE: CWE-749: Exposed Dangerous Method or Function                        OWASP Top 10: M1: Improper Platform Usage                        OWASP MASVS: MSTG-PLATFORM-7,com/sensorsdata/analytics/android/webview/impl/SAWebViewProtocolImpl.java,Suppress the rule android_webview in de.bmw.connected.mobile20.na                         Suppress the rule android_webview in de.bmw.connected.mobile20.na only from these files,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/code_analysis.csv
10,This App uses SSL certificate pinning to detect or  prevent MITM attacks in secure communication channel.,secure,OWASP MASVS: MSTG-NETWORK-4,Show Files                                                                                                                                ch/qos/logback/core/net/ssl/SSLContextFactoryBean.java                                                                                                                                      de/bmw/connected/lib/apis/avs/AvsPrerecordedAudioApiProxy$avsPrerecordedAudioApi$2.java                                                                                                                                      kg/b.java                                                                                                                                      ly/count/android/sdk/c.java                                                                                                                                      ra/b.java                                                                                                                                      ra/c.java                                                                                                                                      ra/d.java                                                                                                                                      w10/c.java                                                                                                                                      w10/d.java                                                                                                                                      w10/i.java                                                                                                                                      w10/j.java                                                                                                                                      xa/c.java                                                                                                                                      xa/d.java                                                                                                                                      xa/e.java                                                                                                                                      xa/f.java                                                                                                                                      xa/g.java                                                                                                                                      xa/h.java                                                                                                                                      xa/i.java                                                                                                                                      xa/k.java                                                                                                                                      xa/l.java,Suppress the rule android_ssl_pinning in de.bmw.connected.mobile20.na                         Suppress the rule android_ssl_pinning in de.bmw.connected.mobile20.na only from these files,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/code_analysis.csv
11,This App copies data to clipboard. Sensitive data should not be copied to clipboard as other applications can access it.,info,OWASP MASVS: MSTG-STORAGE-10,io/flutter/plugin/editing/InputConnectionAdaptor.java                                                                                                                            io/flutter/plugin/platform/PlatformPlugin.java,Suppress the rule android_clipboard_copy in de.bmw.connected.mobile20.na                         Suppress the rule android_clipboard_copy in de.bmw.connected.mobile20.na only from these files,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/code_analysis.csv
12,App creates temp file. Sensitive information should never be written into a temp file.,warning,CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2,Show Files                                                                                                                                b/a.java                                                                                                                                      com/journeyapps/barcodescanner/a.java                                                                                                                                      d7/b0.java                                                                                                                                      f10/j.java                                                                                                                                      fn/c.java                                                                                                                                      io/flutter/plugins/camerax/ImageCaptureHostApiImpl.java                                                                                                                                      io/flutter/plugins/camerax/SystemServicesHostApiImpl.java                                                                                                                                      io/flutter/plugins/imagepicker/ImagePickerDelegate.java                                                                                                                                      j0/u.java                                                                                                                                      j3/a.java,Suppress the rule android_temp_file in de.bmw.connected.mobile20.na                         Suppress the rule android_temp_file in de.bmw.connected.mobile20.na only from these files,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/code_analysis.csv
13,App can write to App Directory. Sensitive Information should be encrypted.,info,CWE: CWE-276: Incorrect Default Permissions                                               OWASP MASVS: MSTG-STORAGE-14,ve/g.java,Suppress the rule android_write_app_dir in de.bmw.connected.mobile20.na                         Suppress the rule android_write_app_dir in de.bmw.connected.mobile20.na only from these files,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/code_analysis.csv
14,MD5 is a weak hash known to have hash collisions.,warning,CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4,Show Files                                                                                                                                c/t/m/g/c7.java                                                                                                                                      com/bmwgroup/connected/internal/ui/resource/CarAssetManagerAndroid.java                                                                                                                                      com/bmwgroup/connected/internal/ui/resource/RhmiResource.java                                                                                                                                      com/bmwgroup/connected/util/util/ChecksumHelper.java                                                                                                                                      com/bmwgroup/connected/util/util/Hashing.java                                                                                                                                      com/sensorsdata/analytics/android/sdk/visual/ViewSnapshot.java                                                                                                                                      rk/vf.java,Suppress the rule android_md5 in de.bmw.connected.mobile20.na                         Suppress the rule android_md5 in de.bmw.connected.mobile20.na only from these files,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/code_analysis.csv
15,This App may have root detection capabilities.,secure,OWASP MASVS: MSTG-RESILIENCE-1,Show Files                                                                                                                                ig/b0.java                                                                                                                                      km/i.java                                                                                                                                      ly/count/android/sdk/t.java                                                                                                                                      zk/w.java,Suppress the rule android_detect_root in de.bmw.connected.mobile20.na                         Suppress the rule android_detect_root in de.bmw.connected.mobile20.na only from these files,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/code_analysis.csv
16,SHA-1 is a weak hash known to have hash collisions.,warning,CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4,Show Files                                                                                                                                c/t/m/g/a1.java                                                                                                                                      c/t/m/g/b1.java                                                                                                                                      com/bmwgroup/connected/internal/util/VersionHelper.java                                                                                                                                      com/bmwgroup/connected/util/logging/internal/VersionHelper.java                                                                                                                                      com/sensorsdata/analytics/android/sdk/advert/oaid/impl/OppoImpl.java                                                                                                                                      fn/b.java,Suppress the rule android_sha1 in de.bmw.connected.mobile20.na                         Suppress the rule android_sha1 in de.bmw.connected.mobile20.na only from these files,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/code_analysis.csv
17,The file or SharedPreference is World Readable. Any App can read from the file,high,CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2,c/t/m/g/z6.java                                                                                                                            com/sensorsdata/analytics/android/sdk/util/SASpUtils.java,Suppress the rule android_world_readable in de.bmw.connected.mobile20.na                         Suppress the rule android_world_readable in de.bmw.connected.mobile20.na only from these files,BMW,/home/jovyan/work/SOEN 321/car_app_analysis/BMW/code_analysis.csv
1,"Files may contain hardcoded sensitive information like usernames, passwords, keys etc.",warning,CWE: CWE-312: Cleartext Storage of Sensitive Information                        OWASP Top 10: M9: Reverse Engineering                        OWASP MASVS: MSTG-STORAGE-14,Show Files                                                                                                                                com/brightcove/player/edge/Authorizer.java                                                                                                                                      com/brightcove/player/edge/EdgeTask.java                                                                                                                                      com/brightcove/player/event/EventEmitterImpl.java                                                                                                                                      com/gm/energyassistant/datamodels/BaseGeminiJavaScriptInterface.java                                                                                                                                      com/gm/energyassistant/datamodels/JsonDeviceInfo.java                                                                                                                                      com/gm/gemini/cms_sdk/model/LanguageDocumentMap.java                                                                                                                                      com/gm/gemini/cms_sdk/model/LegalDocument.java                                                                                                                                      com/gm/gemini/model/VehicleCommand.java                                                                                                                                      com/gm/gemini/tardis/HybridCommunicator.java                                                                                                                                      com/gm/gemini/tardis/TardisPerfectoBuildInfo.java                                                                                                                                      com/gm/onstar/sdk/demo/DemoConstants.java                                                                                                                                      com/gm/tardis/core/notifications/TardisNotificationHandler.java                                                                                                                                      com/gm/tardis/core/push/TardisPushRegistration.java                                                                                                                                      com/gm/vipkit/encryption/CryptoConstants.java                                                                                                                                      com/launchdarkly/sdk/LDContext.java                                                                                                                                      com/microsoft/identity/client/Constants.java                                                                                                                                      com/microsoft/identity/client/SingleAccountPublicClientApplication.java                                                                                                                                      com/microsoft/identity/common/adal/internal/AuthenticationConstants.java                                                                                                                                      com/microsoft/identity/common/internal/activebrokerdiscovery/BrokerDiscoveryClient.java                                                                                                                                      com/microsoft/identity/common/internal/broker/BrokerRequest.java                                                                                                                                      com/microsoft/identity/common/internal/broker/BrokerResult.java                                                                                                                                      com/microsoft/identity/common/internal/cache/ActiveBrokerCache.java                                                                                                                                      com/microsoft/identity/common/internal/cache/ClientActiveBrokerCache.java                                                                                                                                      com/microsoft/identity/common/java/AuthenticationConstants.java                                                                                                                                      com/microsoft/identity/common/java/authscheme/PopAuthenticationSchemeWithClientKeyInternal.java                                                                                                                                      com/microsoft/identity/common/java/dto/AccountRecord.java                                                                                                                                      com/microsoft/identity/common/java/dto/Credential.java                                                                                                                                      com/microsoft/identity/common/java/dto/PrimaryRefreshTokenRecord.java                                                                                                                                      com/microsoft/identity/common/java/eststelemetry/LastRequestTelemetryCache.java                                                                                                                                      com/microsoft/identity/common/java/eststelemetry/SchemaConstants.java                                                                                                                                      com/microsoft/identity/common/java/exception/ClientException.java                                                                                                                                      com/microsoft/identity/common/java/providers/oauth2/IDToken.java                                                                                                                                      com/microsoft/identity/common/java/providers/oauth2/TokenRequest.java                                                                                                                                      com/reactnativegmevchargermodule/GmEvChargerModuleViewManager.java                                                                                                                                      defpackage/dt9.java                                                                                                                                      defpackage/gm6.java                                                                                                                                      defpackage/ms9.java                                                                                                                                      defpackage/wc4.java                                                                                                                                      defpackage/yi3.java                                                                                                                                      defpackage/yn.java                                                                                                                                      org/slf4j/impl/SimpleLogger.java,Suppress the rule android_hardcoded in com.gm.buick.nomad.ownership                         Suppress the rule android_hardcoded in com.gm.buick.nomad.ownership only from these files,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/code_analysis.csv
2,IP Address disclosure,warning,CWE: CWE-200: Information Exposure                                               OWASP MASVS: MSTG-CODE-2,com/nimbusds/jose/jwk/Curve.java                                                                                                                            defpackage/dz1.java,Suppress the rule android_ip_disclosure in com.gm.buick.nomad.ownership                         Suppress the rule android_ip_disclosure in com.gm.buick.nomad.ownership only from these files,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/code_analysis.csv
3,This App uses SSL certificate pinning to detect or  prevent MITM attacks in secure communication channel.,secure,OWASP MASVS: MSTG-NETWORK-4,Show Files                                                                                                                                com/here/network/NetworkSSLContextFactory.java                                                                                                                                      defpackage/bd4.java                                                                                                                                      defpackage/bq4.java                                                                                                                                      defpackage/hj6.java                                                                                                                                      defpackage/lb0.java                                                                                                                                      defpackage/lv1.java                                                                                                                                      defpackage/su0.java,Suppress the rule android_ssl_pinning in com.gm.buick.nomad.ownership                         Suppress the rule android_ssl_pinning in com.gm.buick.nomad.ownership only from these files,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/code_analysis.csv
4,Insecure WebView Implementation. Execution of user controlled code in WebView is a critical Security Hole.,warning,CWE: CWE-749: Exposed Dangerous Method or Function                        OWASP Top 10: M1: Improper Platform Usage                        OWASP MASVS: MSTG-PLATFORM-7,Show Files                                                                                                                                com/gm/energyassistant/JsBridgeWebView.java                                                                                                                                      com/gm/energyassistant/projection/ProjectionWebView.java                                                                                                                                      com/gm/gemini/auto/plugins/auto_gml_mini_app/AutoGmlMiniAppView.java                                                                                                                                      com/gm/gemini/plugin_common_resources/fragment/MsalPapiWebViewFragment.java,Suppress the rule android_webview in com.gm.buick.nomad.ownership                         Suppress the rule android_webview in com.gm.buick.nomad.ownership only from these files,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/code_analysis.csv
5,The App logs information. Sensitive information should never be logged.,info,CWE: CWE-532: Insertion of Sensitive Information into Log File                                               OWASP MASVS: MSTG-STORAGE-3,Show Files                                                                                                                                com/activeandroid/ActiveAndroid.java                                                                                                                                      com/activeandroid/Cache.java                                                                                                                                      com/activeandroid/Configuration.java                                                                                                                                      com/activeandroid/DatabaseHelper.java                                                                                                                                      com/activeandroid/Model.java                                                                                                                                      com/activeandroid/query/From.java                                                                                                                                      com/activeandroid/util/IOUtils.java                                                                                                                                      com/activeandroid/util/Log.java                                                                                                                                      com/activeandroid/util/ReflectionUtils.java                                                                                                                                      com/activeandroid/util/SQLiteUtils.java                                                                                                                                      com/brightcove/player/analytics/AnalyticsClient.java                                                                                                                                      com/brightcove/player/analytics/DefaultAnalyticsHandler.java                                                                                                                                      com/brightcove/player/edge/OfflineStoreManager.java                                                                                                                                      com/brightcove/player/logging/Log.java                                                                                                                                      com/brightcove/player/network/DownloadManager.java                                                                                                                                      com/brightcove/player/network/HttpService.java                                                                                                                                      com/brightcove/player/offline/MultiDataSource.java                                                                                                                                      com/brightcove/player/store/BaseStore.java                                                                                                                                      defpackage/b27.java                                                                                                                                      defpackage/bn2.java                                                                                                                                      defpackage/bq4.java                                                                                                                                      defpackage/cd6.java                                                                                                                                      defpackage/cw8.java                                                                                                                                      defpackage/d33.java                                                                                                                                      defpackage/d67.java                                                                                                                                      defpackage/de.java                                                                                                                                      defpackage/de8.java                                                                                                                                      defpackage/do9.java                                                                                                                                      defpackage/du3.java                                                                                                                                      defpackage/e02.java                                                                                                                                      defpackage/e67.java                                                                                                                                      defpackage/eo8.java                                                                                                                                      defpackage/eo9.java                                                                                                                                      defpackage/f02.java                                                                                                                                      defpackage/f23.java                                                                                                                                      defpackage/fe1.java                                                                                                                                      defpackage/ft9.java                                                                                                                                      defpackage/gh9.java                                                                                                                                      defpackage/gz8.java                                                                                                                                      defpackage/h23.java                                                                                                                                      defpackage/hv5.java                                                                                                                                      defpackage/io7.java                                                                                                                                      defpackage/j88.java                                                                                                                                      defpackage/jd0.java                                                                                                                                      defpackage/ld9.java                                                                                                                                      defpackage/lt8.java                                                                                                                                      defpackage/np8.java                                                                                                                                      defpackage/ow6.java                                                                                                                                      defpackage/p79.java                                                                                                                                      defpackage/pi1.java                                                                                                                                      defpackage/py3.java                                                                                                                                      defpackage/qg5.java                                                                                                                                      defpackage/qp2.java                                                                                                                                      defpackage/s44.java                                                                                                                                      defpackage/sv9.java                                                                                                                                      defpackage/t32.java                                                                                                                                      defpackage/tr8.java                                                                                                                                      defpackage/tu9.java                                                                                                                                      defpackage/v39.java                                                                                                                                      defpackage/vq9.java                                                                                                                                      defpackage/w39.java                                                                                                                                      defpackage/wr8.java                                                                                                                                      defpackage/wr9.java                                                                                                                                      defpackage/x29.java                                                                                                                                      defpackage/y39.java                                                                                                                                      defpackage/yv3.java                                                                                                                                      defpackage/zs9.java,Suppress the rule android_logging in com.gm.buick.nomad.ownership                         Suppress the rule android_logging in com.gm.buick.nomad.ownership only from these files,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/code_analysis.csv
6,App uses SQLite Database and execute raw SQL query. Untrusted user input in raw SQL queries can cause SQL Injection. Also sensitive information should be encrypted and written to the database.,warning,CWE: CWE-89: Improper Neutralization of Special Elements used in an SQL Command ('SQL Injection')                        OWASP Top 10: M7: Client Code Quality,Show Files                                                                                                                                com/activeandroid/ActiveAndroid.java                                                                                                                                      com/activeandroid/DatabaseHelper.java                                                                                                                                      defpackage/ab.java                                                                                                                                      defpackage/ch.java                                                                                                                                      defpackage/dk.java                                                                                                                                      defpackage/dk4.java                                                                                                                                      defpackage/ep6.java                                                                                                                                      defpackage/fp6.java                                                                                                                                      defpackage/gp6.java                                                                                                                                      defpackage/ip6.java                                                                                                                                      defpackage/j24.java                                                                                                                                      defpackage/jp6.java                                                                                                                                      defpackage/kp6.java                                                                                                                                      defpackage/ld9.java                                                                                                                                      defpackage/lu9.java                                                                                                                                      defpackage/p26.java                                                                                                                                      defpackage/pi5.java                                                                                                                                      defpackage/po8.java                                                                                                                                      defpackage/r92.java                                                                                                                                      defpackage/s26.java                                                                                                                                      defpackage/u71.java                                                                                                                                      defpackage/wm4.java                                                                                                                                      defpackage/x78.java                                                                                                                                      defpackage/yv1.java                                                                                                                                      defpackage/z56.java,Suppress the rule android_sql_raw_query in com.gm.buick.nomad.ownership                         Suppress the rule android_sql_raw_query in com.gm.buick.nomad.ownership only from these files,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/code_analysis.csv
7,SHA-1 is a weak hash known to have hash collisions.,warning,CWE: CWE-327: Use of a Broken or Risky Cryptographic Algorithm                        OWASP Top 10: M5: Insufficient Cryptography                        OWASP MASVS: MSTG-CRYPTO-4,Show Files                                                                                                                                defpackage/d33.java                                                                                                                                      defpackage/hf.java                                                                                                                                      defpackage/jd0.java                                                                                                                                      defpackage/nf8.java                                                                                                                                      defpackage/nm2.java                                                                                                                                      defpackage/sh6.java                                                                                                                                      defpackage/yx2.java,Suppress the rule android_sha1 in com.gm.buick.nomad.ownership                         Suppress the rule android_sha1 in com.gm.buick.nomad.ownership only from these files,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/code_analysis.csv
8,App can read/write to External Storage. Any App can read data written to External Storage.,warning,CWE: CWE-276: Incorrect Default Permissions                        OWASP Top 10: M2: Insecure Data Storage                        OWASP MASVS: MSTG-STORAGE-2,Show Files                                                                                                                                com/RNFetchBlob/RNFetchBlob.java                                                                                                                                      com/brightcove/player/offline/ExternalFileCreator.java                                                                                                                                      com/brightcove/player/offline/MediaDownloadable.java                                                                                                                                      com/brightcove/player/util/FileUtil.java                                                                                                                                      com/gm/energyassistant/datamodels/JsonSaveFile.java                                                                                                                                      com/gm/energyassistant/datamodels/sharedStorage/LegacyDocumentFileProvider.java                                                                                                                                      com/gm/tardis/core/ownermanual/TardisOwnerManual.java                                                                                                                                      com/gm/vipkit/LogManager.java                                                                                                                                      com/learnium/RNDeviceInfo/RNDeviceModule.java                                                                                                                                      com/rnfs/RNFSManager.java                                                                                                                                      defpackage/cg5.java                                                                                                                                      defpackage/ih7.java                                                                                                                                      defpackage/iq6.java                                                                                                                                      defpackage/je.java                                                                                                                                      defpackage/ma1.java                                                                                                                                      defpackage/wn4.java                                                                                                                                      defpackage/wv.java,Suppress the rule android_read_write_external in com.gm.buick.nomad.ownership                         Suppress the rule android_read_write_external in com.gm.buick.nomad.ownership only from these files,Buick,/home/jovyan/work/SOEN 321/car_app_analysis/Buick/code_analysis.csv
