"PERMISSION","STATUS","INFO","DESCRIPTION","CODE MAPPINGS"
"android.permission.INTERNET","normal","full Internet access","Allows an application to create network sockets.","Show Files                                                                                                                                                                                                                                                                                                                            cariad/charging/multicharge/common/presentation/NetworkImageKt.java                                                                                                                                                                                                    cariad/charging/multicharge/service/http/RetrofitFactoryKt.java                                                                                                                                                                                                    com/adobe/marketing/mobile/services/HttpConnection.java                                                                                                                                                                                                    com/adobe/marketing/mobile/services/HttpConnectionHandler.java                                                                                                                                                                                                    com/gto/tsm/agentlibrary/a/C0058.java                                                                                                                                                                                                    com/gto/tsm/agentlibrary/b/C0060.java                                                                                                                                                                                                    com/microsoft/appcenter/http/DefaultHttpClientCallTask.java                                                                                                                                                                                                    com/microsoft/appcenter/http/HttpUtils.java                                                                                                                                                                                                    com/microsoft/appcenter/utils/NetworkStateHelper.java                                                                                                                                                                                                    de/quartettmobile/sharelocationresolver/ShareLocationObjectTask.java                                                                                                                                                                                                    io/opentelemetry/exporter/internal/grpc/GrpcExporterBuilder.java                                                                                                                                                                                                    io/opentelemetry/exporter/internal/grpc/OkHttpGrpcExporter.java                                                                                                                                                                                                    io/opentelemetry/exporter/internal/okhttp/OkHttpExporter.java                                                                                                                                                                                                    io/opentelemetry/exporter/internal/okhttp/OkHttpExporterBuilder.java                                                                                                                                                                                                    io/opentelemetry/exporter/otlp/logs/OtlpGrpcLogRecordExporterBuilder.java                                                                                                                                                                                                    io/opentelemetry/exporter/otlp/metrics/OtlpGrpcMetricExporterBuilder.java                                                                                                                                                                                                    io/opentelemetry/exporter/otlp/trace/OtlpGrpcSpanExporterBuilder.java                                                                                                                                                                                                    okio/Okio__JvmOkioKt.java                                                                                                                                                                                                    org/altbeacon/beacon/distance/DistanceConfigFetcher.java                                                                                                                                                                                                    org/eclipse/jetty/client/AbstractConnectorHttpClientTransport.java                                                                                                                                                                                                    org/eclipse/jetty/client/HttpClient.java                                                                                                                                                                                                    org/eclipse/jetty/client/HttpClientTransport.java                                                                                                                                                                                                    org/eclipse/jetty/server/Request.java                                                                                                                                                                                                    org/eclipse/jetty/server/ShutdownMonitor.java                                                                                                                                                                                                    org/eclipse/jetty/server/handler/ContextHandler.java                                                                                                                                                                                                    org/eclipse/jetty/server/handler/DefaultHandler.java                                                                                                                                                                                                    org/eclipse/jetty/server/handler/ShutdownHandler.java                                                                                                                                                                                                    org/eclipse/jetty/servlet/StatisticsServlet.java                                                                                                                                                                                                    org/eclipse/jetty/servlets/PutFilter.java                                                                                                                                                                                                    org/eclipse/jetty/util/log/JavaUtilLog.java                                                                                                                                                                                                    org/eclipse/jetty/util/log/JettyLogHandler.java                                                                                                                                                                                                    org/eclipse/jetty/util/log/Log.java                                                                                                                                                                                                    org/eclipse/jetty/util/resource/BadResource.java                                                                                                                                                                                                    org/eclipse/jetty/util/resource/EmptyResource.java                                                                                                                                                                                                    org/eclipse/jetty/util/resource/FileResource.java                                                                                                                                                                                                    org/eclipse/jetty/util/resource/JarFileResource.java                                                                                                                                                                                                    org/eclipse/jetty/util/resource/JarResource.java                                                                                                                                                                                                    org/eclipse/jetty/util/resource/PathResource.java                                                                                                                                                                                                    org/eclipse/jetty/util/resource/Resource.java                                                                                                                                                                                                    org/eclipse/jetty/util/resource/ResourceCollection.java                                                                                                                                                                                                    org/eclipse/jetty/util/resource/URLResource.java                                                                                                                                                                                                    org/eclipse/jetty/websocket/api/Session.java                                                                                                                                                                                                    org/eclipse/jetty/websocket/client/WebSocketClient.java                                                                                                                                                                                                    org/eclipse/jetty/websocket/common/LogicalConnection.java                                                                                                                                                                                                    org/eclipse/jetty/websocket/common/WebSocketSession.java                                                                                                                                                                                                    org/eclipse/jetty/websocket/common/io/AbstractWebSocketConnection.java                                                                                                                                                                                                    org/eclipse/jetty/websocket/servlet/UpgradeHttpServletRequest.java                                                                                                                                                                                                    technology/cariad/cat/audiostream/audio/AudioServer.java                                                                                                                                                                                                    technology/cariad/cat/audiostream/cnc/CNCServer.java                                                                                                                                                                                                    technology/cariad/cat/destinationmemory/destination/DestinationApiKt.java                                                                                                                                                                                                    technology/cariad/cat/destinationmemory/guidance/GuidanceApiKt.java                                                                                                                                                                                                    technology/cariad/cat/httpclient/okhttp/OkHttpUtil.java                                                                                                                                                                                                    technology/cariad/cat/network/ConnectivityImpl$registerNetworkCallback$1.java                                                                                                                                                                                                    technology/cariad/cat/network/DefaultSocketWrapper.java                                                                                                                                                                                                    technology/cariad/cat/reachability/ReachabilityManager.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/discovery/legacy/TCPReceiverThread.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/discovery/legacy/TCPSenderThread.java"
"android.permission.NEARBY_WIFI_DEVICES","dangerous","required for advertising and connecting to nearby devices via Wi-Fi.","Required to be able to advertise and connect to nearby devices via Wi-Fi.",""
"android.permission.NFC","normal","control Near-Field Communication","Allows an application to communicate with Near-Field Communication (NFC) tags, cards and readers.",""
"android.permission.POST_NOTIFICATIONS","dangerous","allows an app to post notifications.","Allows an app to post notifications","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        com/adobe/marketing/mobile/LocalNotificationHandler.java                                                                                                                                                                                                    de/audi/onetouch/push/BackgroundNotificationPresenter.java                                                                                                                                                                                                    de/audi/onetouch/push/PushNotificationChannelManager.java                                                                                                                                                                                                    org/altbeacon/bluetooth/BluetoothMedic.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/service/RhmiService.java"
"android.permission.READ_CALENDAR","dangerous","read calendar events","Allows an application to read all of the calendar events stored on your phone. Malicious applications can use this to send your calendar events to other people.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    technology/cariad/cat/calendar/CalendarHelper$calendarByID$2.java"
"android.permission.READ_CONTACTS","dangerous","read contact data","Allows an application to read all of the contact (address) data stored on your phone. Malicious applications can use this to send your data to other people.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    technology/cariad/cat/contacts/Contact$getDisplayPhotoData$2.java                                                                                                                                                                                                    technology/cariad/cat/contacts/ContactsHelper$contacts$2.java                                                                                                                                                                                                    technology/cariad/cat/contacts/ContactsHelper$contactsByEmailAddress$3.java                                                                                                                                                                                                    technology/cariad/cat/contacts/ContactsHelper$contactsWithEmailAddresses$2.java                                                                                                                                                                                                    technology/cariad/cat/contacts/ContactsHelper$starredContacts$2.java                                                                                                                                                                                                    technology/cariad/cat/contacts/ContactsHelper.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/calendar/CalendarApp.java"
"android.permission.READ_EXTERNAL_STORAGE","dangerous","read external storage contents","Allows an application to read from external storage.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                com/adobe/marketing/mobile/AndroidCompressedFileService.java                                                                                                                                                                                                    com/adobe/marketing/mobile/AndroidFullscreenMessage.java                                                                                                                                                                                                    com/adobe/marketing/mobile/ConfigurationExtension.java                                                                                                                                                                                                    com/adobe/marketing/mobile/FileUtil.java                                                                                                                                                                                                    com/contoworks/kontocloud/uicomponents/widget/PayonTemplateHelper.java                                                                                                                                                                                                    com/microsoft/appcenter/utils/storage/FileManager.java                                                                                                                                                                                                    de/audi/onetouch/profile/worthknowing/legal/CopyrightDetailsViewModel.java                                                                                                                                                                                                    de/audi/onetouch/util/share/FileSharing$zipAndShareFiles$2.java                                                                                                                                                                                                    de/quartettmobile/sharelocationresolver/ShareLocationObjectTask.java                                                                                                                                                                                                    okio/Okio__JvmOkioKt.java                                                                                                                                                                                                    org/altbeacon/beacon/distance/ModelSpecificDistanceCalculator.java                                                                                                                                                                                                    org/altbeacon/bluetooth/BluetoothCrashResolver.java                                                                                                                                                                                                    org/eclipse/jetty/http/MultiPartFormInputStream.java                                                                                                                                                                                                    org/eclipse/jetty/server/session/FileSessionDataStore.java                                                                                                                                                                                                    org/eclipse/jetty/util/IO.java                                                                                                                                                                                                    org/eclipse/jetty/util/MultiPartInputStreamParser.java                                                                                                                                                                                                    org/eclipse/jetty/util/resource/FileResource.java                                                                                                                                                                                                    technology/cariad/cat/geokit/CustomAddressMapperKt.java                                                                                                                                                                                                    technology/cariad/cat/geokit/DiskLruCache.java                                                                                                                                                                                                    technology/cariad/cat/google/places/GooglePlaceClient.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/app/RhmiFileWithChecksum.java                                                                                                                                                                                                    technology/cariad/cat/streaming/source/provider/LocalFileSourceProvider.java                                                                                                                                                                                                    technology/cariad/cat/utility/android/preferencedelegate/CacheFilePreferenceManager$read$2.java"
"android.permission.READ_PHONE_STATE","dangerous","read phone state and identity","Allows the application to access the phone features of the device. An application with this permission can determine the phone number and serial number of this phone, whether a call is active, the number that call is connected to and so on.",""
"android.permission.READ_PRIVILEGED_PHONE_STATE","unknown","Unknown permission","Unknown permission from android reference",""
"android.permission.RECEIVE_BOOT_COMPLETED","normal","automatically start at boot","Allows an application to start itself as soon as the system has finished booting. This can make it take longer to start the phone and allow the application to slow down the overall phone by always running.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                com/adobe/marketing/mobile/AndroidSystemInfoService.java                                                                                                                                                                                                    com/adobe/marketing/mobile/LocalNotificationHandler.java                                                                                                                                                                                                    com/adobe/marketing/mobile/NotificationDismissalHandler.java                                                                                                                                                                                                    com/gto/tsm/agentlibrary/d/If.java                                                                                                                                                                                                    de/audi/onetouch/bluetooth/VehicleBeaconBroadcastReceiver.java                                                                                                                                                                                                    de/audi/onetouch/configuration/BluetoothServiceStateBindable.java                                                                                                                                                                                                    de/audi/onetouch/configuration/LocationServiceStateBindable.java                                                                                                                                                                                                    de/audi/onetouch/event/BackgroundIntentBroadcastReceiver.java                                                                                                                                                                                                    de/audi/onetouch/mobilekey/nfcevent/MobileKeyNFCBroadcastReceiver.java                                                                                                                                                                                                    de/audi/onetouch/mobilityserviceprovider/MspGeofenceBroadcastReceiver.java                                                                                                                                                                                                    de/audi/onetouch/rhmi/StopBackgroundProcessBroadcastReceiver.java                                                                                                                                                                                                    de/audi/onetouch/util/appupdate/AppUpdateManager.java                                                                                                                                                                                                    de/audi/onetouch/widgets/vehiclestatus/VehicleStatusWidgetProvider.java                                                                                                                                                                                                    org/altbeacon/beacon/powersave/BackgroundPowerSaverInternal.java                                                                                                                                                                                                    org/altbeacon/beacon/service/scanner/CycledLeScanner.java                                                                                                                                                                                                    org/altbeacon/beacon/service/scanner/CycledLeScannerForLollipop.java                                                                                                                                                                                                    org/altbeacon/beacon/startup/StartupBroadcastReceiver.java                                                                                                                                                                                                    org/altbeacon/beacon/utils/DozeDetector.java                                                                                                                                                                                                    org/altbeacon/bluetooth/BluetoothCrashResolver.java                                                                                                                                                                                                    org/altbeacon/bluetooth/BluetoothMedic.java                                                                                                                                                                                                    technology/cariad/cat/genx/VehicleManagerBeaconReceiver.java                                                                                                                                                                                                    technology/cariad/cat/genx/bluetooth/BluetoothConnectionManager.java                                                                                                                                                                                                    technology/cariad/cat/idk/IdentityKit.java                                                                                                                                                                                                    technology/cariad/cat/locationkit/LocationBroadcastReceiver.java                                                                                                                                                                                                    technology/cariad/cat/reachability/WifiBroadcastReceiver.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/appkit/CarWifiBroadcastReceiver.java"
"android.permission.REQUEST_IGNORE_BATTERY_OPTIMIZATIONS","normal","permission for using Settings.ACTION_REQUEST_IGNORE_BATTERY_OPTIMIZATIONS.","Permission an application must hold in order to use Settings.ACTION_REQUEST_IGNORE_BATTERY_OPTIMIZATIONS.",""
"android.permission.SMARTCARD","unknown","Unknown permission","Unknown permission from android reference",""
"android.permission.USE_BIOMETRIC","normal","allows use of device-supported biometric modalities.","Allows an app to use device supported biometric modalities.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            defpackage/gd.java                                                                                                                                                                                                    technology/cariad/cat/biometrickeychain/BiometricKeychain.java                                                                                                                                                                                                    technology/cariad/cat/biometrickeychain/BiometricKeychainImpl.java"
"android.permission.USE_FINGERPRINT","normal","allow use of fingerprint","This constant was deprecated in API level 28. Applications should request USE_BIOMETRIC instead.",""
"android.permission.VIBRATE","normal","control vibrator","Allows the application to control the vibrator.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                de/audi/onetouch/device/HapticFeedbackManager.java                                                                                                                                                                                                    de/quartettmobile/audiui/HapticFeedback.java                                                                                                                                                                                                    technology/cariad/cat/remoteparkassist/HapticsAndSoundManager$playHaptics$2.java"
"android.permission.WAKE_LOCK","normal","prevent phone from sleeping","Allows an application to prevent the phone from going to sleep.","Show Files                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        de/audi/onetouch/errorhandling/ErrorTelematics.java                                                                                                                                                                                                    de/audi/onetouch/exteriorlight/LUXLightAnimationFragment$startVideo$1.java                                                                                                                                                                                                    de/audi/onetouch/exteriorlight/LUXLightAnimationFragment.java                                                                                                                                                                                                    de/audi/onetouch/exteriorlight/animations/LUXAnimationSceneView.java                                                                                                                                                                                                    de/audi/onetouch/gem/backend/WiremockServerDetectionGemViewModel.java                                                                                                                                                                                                    de/audi/onetouch/refresh/BackgroundFetch.java                                                                                                                                                                                                    org/altbeacon/beacon/service/BeaconService.java                                                                                                                                                                                                    org/altbeacon/beacon/service/scanner/CycledLeScanner.java                                                                                                                                                                                                    org/altbeacon/beacon/service/scanner/CycledLeScannerForLollipop.java                                                                                                                                                                                                    technology/cariad/cat/reachability/ReachabilityManager.java                                                                                                                                                                                                    technology/cariad/cat/remoteparkassist/HapticsAndSoundManager$playSound$2.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/discovery/bonjour/BonjourDiscovery.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/discovery/legacy/UDPAdvertiseSender.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/manager/RhmiManager.java                                                                                                                                                                                                    technology/cariad/cat/rhmi/service/RhmiService.java"
